,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
0,N/A,N/A,pgr,N/A,N/A,N/A,N/A,N/A,31.71,12.39,1.25,3.56,10.18,13.72,6.59,48660000000.0,66.80,48660000000.0,51810000000.0,14.53,3.58,1.33,9.17,1.33,5530000000.0,48660000000.0,N/A,6.72,304.50,33.70,1800000000.0,3.08,4410000000.0,0.35,23.39,N/A,48660000000.0,0.29,82.21,N/A,1.75,1.08,4960000.0,N/A
1,N/A,N/A,cog,N/A,N/A,N/A,N/A,N/A,56.80,7.96,2.76,2.80,36.91,48.64,15.46,6040000000.0,5.19,6040000000.0,7210000000.0,16.50,0.27,3.29,4.82,3.29,1390000000.0,6040000000.0,N/A,1.91,26.10,23.80,82320000.0,0.2,1260000000.0,1.43,5.43,1500000000.0,6040000000.0,1.95,97.00,N/A,3.36,8.78,27310000.0,N/A
2,N/A,N/A,alxn,N/A,N/A,N/A,N/A,N/A,25.06,9.52,4.52,2.00,48.17,42.87,8.50,22560000000.0,22.36,22560000000.0,22780000000.0,8.39,0.64,4.56,9.13,4.56,4600000000.0,22560000000.0,N/A,10.70,2750000000.0,22.60,2750000000.0,12.42,2820000000.0,4.25,50.93,2080000000.0,22560000000.0,0.23,94.54,N/A,2.46,2.50,4660000.0,N/A
3,N/A,N/A,mdlz,N/A,N/A,N/A,N/A,N/A,70.19,22.45,3.30,3.13,14.96,16.44,4.18,85240000000.0,17.90,85240000000.0,103480000000.0,20.51,2.79,4.00,19.52,4.00,10440000000.0,85240000000.0,N/A,2.65,11.80,2.10,1310000000.0,0.91,19200000000.0,0.50,19.01,3960000000.0,85240000000.0,0.13,79.34,N/A,1.49,0.75,14290000.0,N/A
4,N/A,N/A,hpq,N/A,N/A,N/A,N/A,N/A,0.80,10.71,0.55,0.56,5.36,7.26,7.83,32229999999.999996,38.78,32229999999.999996,33110000000.0,9.60,2.85,0.56,6.61,0.56,11170000000.0,32229999999.999996,N/A,2.07,73.30,0.30,4540000000.0,3.12,5140000000.0,0.80,0.82,4650000000.0,32229999999.999996,0.27,84.68,N/A,1.94,1.18,14480000.0,N/A
5,N/A,N/A,tel,N/A,N/A,N/A,N/A,N/A,42.66,19.49,2.31,2.91,12.01,16.62,7.04,30700000000.0,39.46,30700000000.0,34940000000.0,15.71,1.75,2.63,12.04,2.63,4390000000.0,30700000000.0,N/A,4.71,90.60,5.30,2.22,2.22,4500000000.0,1.63,31.57,2540000000.0,30700000000.0,65.10,0.00,N/A,1.8,0.99,3020000.0,N/A
6,N/A,N/A,ba,N/A,N/A,N/A,N/A,N/A,1.05,20.54,2.48,2.75,0.83,2.75,1.05,189950000000.0,135.26,189950000000.0,210570000000.0,20.54,5.83,2.75,245.96,2.75,4760000000.0,189950000000.0,N/A,1.12,10030000000.0,36.80,10030000000.0,17.81,28530000000.0,1.05,15.31,2450000000.0,189950000000.0,0.10,67.83,N/A,0.91,1.36,6340000.0,N/A
7,N/A,N/A,pnc,N/A,N/A,N/A,N/A,N/A,113.89,13.26,3.83,1.33,31.48,38.00,1.37,65349999999.99999,38.15,65349999999.99999,121760000000.0,11.84,2.32,7.14,1.11,7.14,17050000000.0,65349999999.99999,N/A,11.38,2.20,4.70,5270000000.0,12.18,60260000000.0,113.89,113.89,N/A,65349999999.99999,0.20,83.72,N/A,1.89,0.95,4930000.0,N/A
8,N/A,N/A,noc,N/A,N/A,N/A,N/A,N/A,175.17,28.04,1.84,7.06,6.64,8.77,4.71,62150000000.0,199.89,62150000000.0,75390000000.0,14.12,1.50,2.23,18.91,2.23,7260000000.0,62150000000.0,N/A,13.22,2240000000.0,6.90,2240000000.0,13.39,15450000000.0,1.13,52.54,4300000000.0,62150000000.0,0.49,83.43,N/A,1.76,1.23,2020000.0,N/A
9,N/A,N/A,abc,N/A,N/A,N/A,N/A,N/A,153.36,30.27,0.11,6.51,0.36,1.03,2.94,19240000000.0,872.55,19240000000.0,21020000000.0,11.31,1.48,0.12,9.01,0.12,4990000000.0,19240000000.0,N/A,3.09,52.30,5.40,3230000000.0,15.7,4710000000.0,0.94,14.36,2009999999.9999998,19240000000.0,27.79,68.63,N/A,4.28,3.74,7390000.0,N/A
10,N/A,N/A,mos,N/A,N/A,N/A,N/A,N/A,47.32,19.33,0.74,0.68,0.37,8.67,2.48,6880000000.0,24.25,6880000000.0,11550000000.0,19.33,6.48,1.24,6.60,1.24,1450000000.0,6880000000.0,N/A,0.09,641100000.0,6.00,641100000.0,1.69,4880000000.0,1.51,26.58,967800000.0,6880000000.0,9.69,78.62,N/A,3.76,5.39,16870000.0,N/A
11,N/A,N/A,all,N/A,N/A,N/A,N/A,N/A,25.51,8.87,0.89,1.67,10.85,14.68,3.53,39660000000.0,136.12,39660000000.0,44320000000.0,11.23,1.95,0.99,6.16,0.99,12490000000.0,39660000000.0,N/A,14.03,4590000000.0,21.00,4590000000.0,14.41,6630000000.0,0.47,74.50,N/A,39660000000.0,0.37,78.82,N/A,2.58,1.18,3910000.0,N/A
12,N/A,N/A,srcl,N/A,N/A,N/A,N/A,N/A,126.84,22.16,1.72,2.34,13.26,11.89,3.68,5790000000.0,36.97,5790000000.0,8990000000.0,22.16,12.11,2.67,13.41,2.67,1390000000.0,5790000000.0,N/A,4.91,30800000.0,2.60,30800000.0,0.34,3140000000.0,0.94,27.15,257540000.00000003,5790000000.0,0.44,113.95,N/A,18.23,10.51,9180000.0,N/A
13,N/A,N/A,xel,N/A,N/A,N/A,N/A,N/A,156.13,27.02,3.24,2.85,11.90,18.25,10.82,37410000000.0,22.21,37410000000.0,56470000000.0,24.18,4.13,4.90,14.74,4.90,4440000000.0,37410000000.0,N/A,2.64,36.40,2.80,1.69,1.69,20520000000.0,25.06,25.06,N/A,37410000000.0,0.18,78.17,N/A,3.03,1.71,18080000.0,N/A
14,N/A,N/A,mrk,N/A,N/A,N/A,N/A,N/A,100.69,21.66,4.49,7.85,21.01,32.12,36.34,210150000000.0,18.16,210150000000.0,229610000000.0,13.12,1.72,4.90,12.45,4.90,33680000000.0,210150000000.0,N/A,3.81,29.00,7.90,8020000000.0,3.15,27110000000.0,10.52,10.52,N/A,210150000000.0,0.07,78.24,N/A,2.79,0.98,25150000.0,N/A
15,N/A,N/A,so,N/A,N/A,N/A,N/A,N/A,149.65,15.90,3.33,2.65,20.95,24.34,2.90,72800000000.0,20.99,72800000000.0,123110000000.0,21.83,10.60,5.64,14.10,5.64,9650000000.0,72800000000.0,N/A,4.36,13.10,2.70,2930000000.0,2.8,48010000000.0,0.94,26.23,6240000000.0,72800000000.0,0.13,61.76,N/A,4.59,1.82,20380000.0,N/A
16,N/A,N/A,wfc,N/A,N/A,N/A,N/A,N/A,40.33,11.55,2.35,1.16,23.73,30.15,1.05,193410000000.0,18.75,193410000000.0,198070000000.0,10.21,1.11,2.40,1.11,2.40,82380000000.0,193410000000.0,N/A,4.05,52.60,6.20,364770000000.0,88.23,341780000000.0,40.33,40.33,N/A,193410000000.0,78.23,0.00,N/A,1.83,0.91,42140000.0,N/A
17,N/A,N/A,txt,N/A,N/A,N/A,N/A,N/A,71.17,13.60,0.80,1.98,5.98,8.51,4.95,10870000000.0,58.57,10870000000.0,13800000000.0,11.61,2.85,1.01,8.75,1.01,1270000000.0,10870000000.0,N/A,3.50,19.10,7.60,1180000000.0,5.14,3930000000.0,1.84,24.01,1010000000.0,10870000000.0,0.25,85.00,N/A,3.82,3.60,6910000.0,N/A
18,N/A,N/A,nem,N/A,N/A,N/A,N/A,N/A,33.65,13.48,4.23,1.74,25.42,17.46,3.14,37270000000.0,13.28,37270000000.0,41880000000.0,23.43,1.98,4.75,12.72,4.75,3250000000.0,37270000000.0,N/A,3.37,2870000000.0,57.20,2870000000.0,3.5,7570000000.0,2.18,26.13,2400000000.0,37270000000.0,0.33,84.55,N/A,2.53,4.38,19260000.0,N/A
19,N/A,N/A,lsi,N/A,N/A,N/A,N/A,N/A,89.36,17.85,9.81,2.56,53.99,39.98,3.53,5590000000.0,12.23,5590000000.0,7400000000.0,33.99,4.32,12.98,22.33,12.98,371950000.0,5590000000.0,N/A,6.59,240.50,3.00,16370000.000000002,0.35,1930000000.0,0.50,45.86,278900000.0,5590000000.0,1.65,93.13,N/A,3.2,4.15,4.28,N/A
20,N/A,N/A,clx,N/A,N/A,N/A,N/A,N/A,567.93,26.00,3.37,37.21,13.31,18.15,13.21,20670000000.0,48.45,20670000000.0,23600000000.0,25.45,8.47,3.85,18.37,3.85,2730000000.0,20670000000.0,N/A,6.35,1.60,1.60,1.34,1.34,3150000000.0,0.86,4.44,1040000000.0,20670000000.0,0.11,83.39,N/A,9.17,8.03,9090000.0,N/A
21,N/A,N/A,nue,N/A,N/A,N/A,N/A,N/A,40.62,11.42,0.63,1.38,5.63,8.56,6.66,14270000000.0,74.05,14270000000.0,17210000000.0,12.85,2.07,0.76,6.37,0.76,2680000000.0,14270000000.0,N/A,4.14,83.30,18.50,1830000000.0,6.08,4380000000.0,3.34,34.32,2810000000.0,14270000000.0,0.59,81.61,N/A,3.18,2.69,8060000.000000001,N/A
22,N/A,N/A,low,N/A,N/A,N/A,N/A,N/A,906.71,32.93,1.31,38.42,4.11,8.91,10.45,94260000000.0,91.28,94260000000.0,117500000000.0,18.44,1.38,1.64,15.11,1.64,22910000000.0,94260000000.0,N/A,3.73,66.80,0.20,1.2,1.2,22290000000.0,1.04,3.20,3510000000.0,94260000000.0,0.16,77.50,N/A,2.97,1.33,9940000.0,N/A
23,N/A,N/A,jwn,N/A,N/A,N/A,N/A,N/A,565.45,11.40,0.40,7.23,3.57,5.29,5.44,6160000000.0,98.19,6160000000.0,10580000000.0,11.40,13.19,0.68,7.17,0.68,5710000000.0,6160000000.0,N/A,3.48,88.10,2.00,3.14,3.14,4810000000.0,0.90,5.48,1220000000.0,6160000000.0,32.87,66.10,N/A,11.48,29.46,27200000.0,N/A
24,N/A,N/A,axp,N/A,N/A,N/A,N/A,N/A,283.48,16.95,2.74,4.76,16.91,21.49,3.49,109710000000.0,48.29,109710000000.0,151190000000.0,13.58,1.52,3.78,1.01,3.78,27320000000.0,109710000000.0,N/A,7.99,15.80,8.60,29.7,29.7,65400000000.00001,1.74,28.48,13630000000.0,109710000000.0,0.21,86.46,N/A,2.27,1.11,7450000.0,N/A
25,N/A,N/A,dte,N/A,N/A,N/A,N/A,N/A,148.78,21.42,2.05,2.22,9.23,13.43,2.72,25970000000.0,68.48,25970000000.0,43440000000.0,19.00,3.35,3.43,16.41,3.43,3420000000.0,25970000000.0,N/A,6.31,39.80,16.10,0.48,0.48,17610000000.0,0.77,60.73,2650000000.0,25970000000.0,0.53,75.44,N/A,4.21,3.03,4830000.0,N/A
26,N/A,N/A,gs,N/A,N/A,N/A,N/A,N/A,452.22,11.03,2.31,1.07,23.86,33.32,0.88,82100000000.0,95.48,82100000000.0,19220000000.0,8.46,1.30,0.54,1.31,0.54,31060000000.0,82100000000.0,N/A,21.03,24.50,22.40,346.58,346.58,452.22,2.69,217.43,N/A,82100000000.0,1.33,74.72,N/A,1.66,1.50,6060000.0,N/A
27,N/A,N/A,kim,N/A,N/A,N/A,N/A,N/A,109.33,23.91,7.07,1.69,35.43,38.58,2.54,8199999999.999999,2.76,8199999999.999999,13680000000.0,23.73,5.49,11.81,18.84,11.81,821930000.0,8199999999.999999,N/A,0.79,24.10,4.20,123950000.0,0.29,5410000000.0,2.71,11.27,N/A,8199999999.999999,2.81,93.86,N/A,4.5,5.30,19260000.0,N/A
28,N/A,N/A,nov,N/A,N/A,N/A,N/A,N/A,35.39,20.30,1.03,1.12,71.88,5.40,1.74,8700000000.0,22.20,8700000000.0,10510000000.0,20.30,0.74,1.24,140.11,1.24,6100000000.0,8700000000.0,N/A,15.96,1170000000.0,4.90,1170000000.0,3.03,2780000000.0,2.72,20.16,790250000.0,8700000000.0,0.33,98.14,N/A,6.8,5.36,18230000.0,N/A
29,N/A,N/A,pbct,N/A,N/A,N/A,N/A,N/A,17.60,12.62,3.87,0.91,28.67,39.17,0.98,7020000000.0,4.59,7020000000.0,13010000000.0,11.45,0.87,7.17,1.22,7.17,1820000000.0,7020000000.0,N/A,1.27,3.40,21.70,491300000.0,1.12,6150000000.0,17.60,17.60,N/A,7020000000.0,0.59,77.19,N/A,5.28,6.27,16760000.000000002,N/A
30,N/A,N/A,trv,N/A,N/A,N/A,N/A,N/A,26.74,13.73,1.10,1.34,8.30,11.03,2.03,34740000000.0,121.46,34740000000.0,36740000000.0,12.08,2.00,1.16,8.65,1.16,7850000000.0,34740000000.0,N/A,9.92,40.60,3.40,5440000000.0,21.32,6940000000.0,0.39,101.54,5210000000.0,34740000000.0,0.27,82.82,N/A,2.78,1.53,4080000.0,N/A
31,N/A,N/A,aig,N/A,N/A,N/A,N/A,N/A,52.43,12.55,0.83,0.64,6.66,14.59,0.90,41730000000.0,57.79,41730000000.0,12.55,9.14,0.16,12.77,12.77,12.77,15870000000.0,41730000000.0,N/A,3.82,16090000000.0,5.30,16090000000.0,35350000000.0,35350000000.0,0.69,74.93,N/A,41730000000.0,0.12,93.91,N/A,3.95,1.82,15600000.0,N/A
32,N/A,N/A,cmcsa,N/A,N/A,N/A,N/A,N/A,131.37,16.27,1.92,2.53,11.98,19.39,5.13,209620000000.0,23.95,209620000000.0,318860000000.0,13.42,1.53,2.93,9.36,2.93,74500000000.0,209620000000.0,N/A,2.83,25.90,2.00,5500000000.0,1.21,111990000000.0,0.84,18.17,25700000000.0,209620000000.0,0.69,85.35,N/A,3.76,1.81,79920000.0,N/A
33,N/A,N/A,peg,N/A,N/A,N/A,N/A,N/A,108.31,20.59,2.96,1.99,14.45,24.66,3.38,29780000000.0,19.97,29780000000.0,45700000000.0,17.37,5.16,4.54,11.73,4.54,3460000000.0,29780000000.0,N/A,2.86,2.20,3.80,0.24,0.24,16170000000.000002,0.75,29.61,3130000000.0,29780000000.0,0.07,72.16,N/A,2.15,1.18,7690000.0,N/A
34,N/A,N/A,orcl,N/A,N/A,N/A,N/A,N/A,333.16,17.49,4.47,11.40,27.62,35.48,8.10,176980000000.0,11.75,176980000000.0,205030000000.0,13.08,1.42,5.18,12.66,5.18,31510000000.0,176980000000.0,N/A,3.15,0.90,0.50,27440000000.0,8.56,53920000000.0,2.37,4.84,13800000000.0,176980000000.0,35.75,52.90,N/A,3.93,1.73,37290000.0,N/A
35,N/A,N/A,vmc,N/A,N/A,N/A,N/A,N/A,57.82,31.03,3.83,3.34,12.43,18.39,5.44,18490000000.0,36.54,18490000000.0,22570000000.0,24.43,1.69,4.67,18.32,4.67,1100000000.0,18490000000.0,N/A,4.50,20.40,14.40,90410000.0,0.68,3200000000.0,2.47,41.88,906280000.0,18490000000.0,0.23,92.84,N/A,1.64,1.15,1480000.0,N/A
36,N/A,N/A,nvda,N/A,N/A,N/A,N/A,N/A,20.91,64.48,17.14,14.62,25.61,26.19,11.68,187110000000.0,17.93,187110000000.0,169010000000.0,31.27,2.81,15.48,52.15,15.48,6780000000.0,187110000000.0,N/A,4.52,67.80,40.80,10900000000.0,17.81,2550000000.0,7.67,19.94,4760000000.0,187110000000.0,4.18,68.58,N/A,1.33,1.57,8450000.0,N/A
37,N/A,N/A,has,N/A,N/A,N/A,N/A,N/A,139.91,23.83,2.80,4.27,11.03,13.81,5.77,13200000000.0,36.91,13200000000.0,12560000000.0,17.51,1.61,2.66,15.08,2.66,2410000000.0,13200000000.0,N/A,4.05,949.80,2.80,4580000000.0,34.56,4190000000.0000005,5.37,22.60,653060000.0,13200000000.0,7.47,90.39,N/A,6.23,6.76,5550000.0,N/A
38,N/A,N/A,fl,N/A,N/A,N/A,N/A,N/A,137.99,8.56,0.51,1.71,6.39,9.01,8.81,4139999999.9999995,72.81,4139999999.9999995,6830000000.0,7.55,1.13,0.85,7.54,0.85,3280000000.0,4139999999.9999995,N/A,4.62,3.80,3.90,7.11,7.11,3350000000.0,1.90,23.10,552500000.0,4139999999.9999995,22.19,0.00,N/A,4.65,13.38,8400000.0,N/A
39,N/A,N/A,wdc,N/A,N/A,N/A,N/A,N/A,107.59,8.79,1.30,2.16,7.66,4.70,1.70,20240000000.0,52.82,20240000000.0,27660000000.0,8.79,1.58,1.77,29.80,1.77,3750000000.0,20240000000.0,N/A,4.04,3140000000.0,0.00,3140000000.0,10.49,10090000000.0,1.92,31.37,838750000.0,20240000000.0,0.31,85.97,N/A,1.44,3.04,12920000.0,N/A
40,N/A,N/A,grmn,N/A,N/A,N/A,N/A,N/A,1.28,23.69,5.15,4.22,21.79,24.86,10.27,18470000000.0,18.92,18470000000.0,17440000000.0,22.38,3.18,4.86,17.55,4.86,1980000000.0,18470000000.0,N/A,4.10,23.70,15.40,1280000000.0,6.72,56290000.0,2.64,23.05,681910000.0,18470000000.0,27.11,49.53,N/A,3.74,1.92,2880000.0,N/A
41,N/A,N/A,cnx,N/A,N/A,N/A,N/A,N/A,59.28,14.55,0.76,0.28,5.23,11.90,1.30,1170000000.0,8.10,1170000000.0,4860000000.0,14.55,0.41,3.15,4.27,3.15,1030000000.0,1170000000.0,N/A,0.42,16280000.000000002,31.30,16280000.000000002,0.09,2940000000.0,0.94,22.29,980560000.0,1170000000.0,84.95,0.00,N/A,6.95,20.62,27180000.0,N/A
42,N/A,N/A,ip,N/A,N/A,N/A,N/A,N/A,130.46,13.97,0.75,2.18,5.47,11.23,4.68,16809999999.999998,56.62,16809999999.999998,26530000000.0,14.06,4.62,1.19,6.96,1.19,7230000000.0,16809999999.999998,N/A,3.07,47.80,7.60,1.3,1.3,10070000000.0,0.77,19.63,3610000000.0,16809999999.999998,0.26,85.83,N/A,3.83,2.80,13330000.0,N/A
43,N/A,N/A,cmg,N/A,N/A,N/A,N/A,N/A,169.43,75.03,4.62,15.32,6.27,8.58,8.13,25790000000.0,201.38,25790000000.0,27570000000.0,40.02,2.01,4.93,39.83,4.93,1900000000.0,25790000000.0,N/A,12.38,126.20,17.60,880780000.0,31.72,2850000000.0,1.61,60.64,721630000.0,25790000000.0,2.48,72.58,N/A,3.87,4.91,1460000.0,N/A
